Date & Time,ECG_Data
[2023-04-06 14:21:13.339] ,313
[2023-04-06 14:21:13.339] ,314
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,313
[2023-04-06 14:21:13.339] ,314
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,326
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,330
[2023-04-06 14:21:13.339] ,338
[2023-04-06 14:21:13.339] ,336
[2023-04-06 14:21:13.339] ,351
[2023-04-06 14:21:13.339] ,346
[2023-04-06 14:21:13.339] ,334
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,314
[2023-04-06 14:21:13.339] ,325
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,331
[2023-04-06 14:21:13.339] ,455
[2023-04-06 14:21:13.339] ,654
[2023-04-06 14:21:13.339] ,415
[2023-04-06 14:21:13.339] ,288
[2023-04-06 14:21:13.339] ,351
[2023-04-06 14:21:13.339] ,331
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,325
[2023-04-06 14:21:13.339] ,314
[2023-04-06 14:21:13.339] ,327
[2023-04-06 14:21:13.339] ,331
[2023-04-06 14:21:13.339] ,341
[2023-04-06 14:21:13.339] ,332
[2023-04-06 14:21:13.339] ,340
[2023-04-06 14:21:13.339] ,347
[2023-04-06 14:21:13.339] ,354
[2023-04-06 14:21:13.339] ,355
[2023-04-06 14:21:13.339] ,360
[2023-04-06 14:21:13.339] ,366
[2023-04-06 14:21:13.339] ,368
[2023-04-06 14:21:13.339] ,375
[2023-04-06 14:21:13.339] ,377
[2023-04-06 14:21:13.339] ,371
[2023-04-06 14:21:13.339] ,350
[2023-04-06 14:21:13.339] ,344
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,313
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,303
[2023-04-06 14:21:13.339] ,307
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,312
[2023-04-06 14:21:13.339] ,309
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,325
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,320
[2023-04-06 14:21:13.339] ,324
[2023-04-06 14:21:13.339] ,324
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,315
[2023-04-06 14:21:13.339] ,317
[2023-04-06 14:21:13.339] ,323
[2023-04-06 14:21:13.339] ,323
[2023-04-06 14:21:13.339] ,321
[2023-04-06 14:21:13.339] ,319
[2023-04-06 14:21:13.339] ,326
[2023-04-06 14:21:13.339] ,350
[2023-04-06 14:21:13.339] ,332
[2023-04-06 14:21:13.339] ,350
[2023-04-06 14:21:13.339] ,349
[2023-04-06 14:21:13.339] ,323
[2023-04-06 14:21:13.339] ,322
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,312
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,316
[2023-04-06 14:21:13.339] ,318
[2023-04-06 14:21:13.339] ,306
[2023-04-06 14:21:13.351] ,334
[2023-04-06 14:21:13.351] ,500
[2023-04-06 14:21:13.351] ,656
[2023-04-06 14:21:13.351] ,421
[2023-04-06 14:21:13.351] ,271
[2023-04-06 14:21:13.351] ,352
[2023-04-06 14:21:13.351] ,313
[2023-04-06 14:21:13.351] ,313
[2023-04-06 14:21:13.351] ,308
[2023-04-06 14:21:13.351] ,309
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,312
[2023-04-06 14:21:13.351] ,317
[2023-04-06 14:21:13.351] ,324
[2023-04-06 14:21:13.351] ,323
[2023-04-06 14:21:13.351] ,325
[2023-04-06 14:21:13.351] ,328
[2023-04-06 14:21:13.351] ,334
[2023-04-06 14:21:13.351] ,340
[2023-04-06 14:21:13.351] ,347
[2023-04-06 14:21:13.351] ,348
[2023-04-06 14:21:13.351] ,355
[2023-04-06 14:21:13.351] ,361
[2023-04-06 14:21:13.351] ,361
[2023-04-06 14:21:13.351] ,366
[2023-04-06 14:21:13.351] ,359
[2023-04-06 14:21:13.351] ,341
[2023-04-06 14:21:13.351] ,328
[2023-04-06 14:21:13.351] ,314
[2023-04-06 14:21:13.351] ,302
[2023-04-06 14:21:13.351] ,309
[2023-04-06 14:21:13.351] ,297
[2023-04-06 14:21:13.351] ,305
[2023-04-06 14:21:13.351] ,301
[2023-04-06 14:21:13.351] ,302
[2023-04-06 14:21:13.351] ,306
[2023-04-06 14:21:13.351] ,310
[2023-04-06 14:21:13.351] ,311
[2023-04-06 14:21:13.351] ,312
[2023-04-06 14:21:13.351] ,312
[2023-04-06 14:21:13.351] ,316
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,320
[2023-04-06 14:21:13.351] ,323
[2023-04-06 14:21:13.351] ,319
[2023-04-06 14:21:13.351] ,316
[2023-04-06 14:21:13.351] ,318
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,321
[2023-04-06 14:21:13.351] ,314
[2023-04-06 14:21:13.351] ,318
[2023-04-06 14:21:13.351] ,317
[2023-04-06 14:21:13.351] ,319
[2023-04-06 14:21:13.351] ,325
[2023-04-06 14:21:13.351] ,318
[2023-04-06 14:21:13.351] ,341
[2023-04-06 14:21:13.351] ,341
[2023-04-06 14:21:13.351] ,335
[2023-04-06 14:21:13.351] ,353
[2023-04-06 14:21:13.351] ,336
[2023-04-06 14:21:13.351] ,324
